ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: Silica
Concentration: 100 %
Wavelength: 850 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.82000000             0.59990000             1.57900000             0.00000000
   2     0.66000000             0.46000000             1.24000000             0.00000000
   3     0.64000000             0.44000000             1.18000000             0.00000000
   4     0.66000000             0.46000000             1.19900000             0.00000000
   5     0.50000000             0.36000000             0.92000000             0.00000000
   6     0.52000000             0.36000000             0.94000000             0.00000000
   7     0.59990000             0.40000000             1.06000000             0.00000000
   8     0.66000000             0.42000000             1.10000000             0.00000000
   9     0.66000000             0.42000000             1.14000000             0.00000000
  10     0.82000000             0.47990000             1.30000000             0.00000000
  11     0.88000000             0.50000000             1.33900000             0.00000000
  12     0.84000000             0.52000000             1.38000000             0.00000000
  13     0.82000000             0.52000000             1.40000000             0.00000000
  14     0.77990000             0.52000000             1.42000000             0.00000000
  15     0.82000000             0.53990000             1.43900000             0.00000000
  16     1.10000000             0.59990000             1.62000000             0.00000000
  17     1.04000000             0.56000000             1.48000000             0.00000000
  18     1.10000000             0.57990000             1.56000000             0.00000000
  19     1.40000000             0.70000000             1.86000000             0.00000000
  20     1.19900000             0.64000000             1.68000000             0.00000000
  21     1.02000000             0.56000000             1.45900000             0.00000000
  22     0.88000000             0.50000000             1.31900000             0.00000000
  23     0.85990000             0.50000000             1.30000000             0.00000000
  24     0.85990000             0.50000000             1.33900000             0.00000000
  25     0.82000000             0.50000000             1.31900000             0.00000000
  26     0.88000000             0.50000000             1.33900000             0.00000000
  27     0.92000000             0.53990000             1.43900000             0.00000000
  28     0.82000000             0.52000000             1.40000000             0.00000000
  29     0.90000000             0.53990000             1.45900000             0.00000000
  30     1.06000000             0.57990000             1.57900000             0.00000000
  31     1.10000000             0.57990000             1.56000000             0.00000000
  32     0.97990000             0.52000000             1.40000000             0.00000000
  33     0.88000000             0.50000000             1.33900000             0.00000000
  34     0.84000000             0.47990000             1.30000000             0.00000000
  35     0.44000000             0.26000000             0.66000000             0.00000000
  36     0.57990000             0.40000000             1.04000000             0.00000000
  37     0.64000000             0.47990000             1.26000000             0.00000000
  38     0.64000000             0.52000000             1.33900000             0.00000000
  39     0.62000000             0.53990000             1.40000000             0.00000000
  40     0.68000000             0.59990000             1.57900000             0.00000000
  41     0.62000000             0.57990000             1.48000000             0.00000000
  42     0.59990000             0.53990000             1.42000000             0.00000000
  43     0.56000000             0.52000000             1.33900000             0.00000000
  44     0.46000000             0.46000000             1.24000000             0.00000000
  45     0.42000000             0.47990000             1.28000000             0.00000000
  46     0.40000000             0.46000000             1.26000000             0.00000000
  47     0.40000000             0.46000000             1.28000000             0.00000000
  48     0.46000000             0.50000000             1.36000000             0.00000000
  49     0.47990000             0.52000000             1.36000000             0.00000000
  50     0.47990000             0.47990000             1.28000000             0.00000000
