ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: CdSe30
Concentration: 100 %
Wavelength: 850 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.15600000             0.14800000             0.11600000             0.00000000
   2     0.16000000             0.15200000             0.12000000             0.00000000
   3     0.13600000             0.14400000             0.10800000             0.00000000
   4     0.14000000             0.14800000             0.11200000             0.00000000
   5     0.28000000             0.21600000             0.19200000             0.00000000
   6     0.23600000             0.19600000             0.16400000             0.00000000
   7     0.25600000             0.20800000             0.17600000             0.00000000
   8     0.20000000             0.17600000             0.14400000             0.00000000
   9     0.19200000             0.17600000             0.14800000             0.00000000
  10     0.30000000             0.23600000             0.20800000             0.00000000
  11     0.34800000             0.26000000             0.23200000             0.00000000
  12     0.36400000             0.26400000             0.24000000             0.00000000
  13     0.20000000             0.18400000             0.14800000             0.00000000
  14     0.18800000             0.18000000             0.14000000             0.00000000
  15     0.16000000             0.16400000             0.12400000             0.00000000
  16     0.13200000             0.14400000             0.10800000             0.00000000
  17     0.26400000             0.22400000             0.18800000             0.00000000
  18     0.20400000             0.18800000             0.15200000             0.00000000
  19     0.22400000             0.20400000             0.16400000             0.00000000
  20     0.24800000             0.21600000             0.18000000             0.00000000
  21     0.29200000             0.24800000             0.20800000             0.00000000
  22     0.29200000             0.24000000             0.20800000             0.00000000
  23     0.29200000             0.24000000             0.20800000             0.00000000
  24     0.30000000             0.23600000             0.20400000             0.00000000
  25     0.28800000             0.23600000             0.20400000             0.00000000
  26     0.30400000             0.24400000             0.21600000             0.00000000
  27     0.30000000             0.24400000             0.21600000             0.00000000
  28     0.34000000             0.27200000             0.24000000             0.00000000
  29     0.22000000             0.19200000             0.16000000             0.00000000
  30     0.24800000             0.21200000             0.18000000             0.00000000
  31     0.25600000             0.21600000             0.18400000             0.00000000
  32     0.25600000             0.21600000             0.18400000             0.00000000
  33     0.34800000             0.26000000             0.23600000             0.00000000
  34     0.29200000             0.23200000             0.20400000             0.00000000
  35     0.26800000             0.22000000             0.18800000             0.00000000
  36     0.24800000             0.20800000             0.17600000             0.00000000
  37     0.30000000             0.23200000             0.20800000             0.00000000
  38     0.30400000             0.24000000             0.21600000             0.00000000
  39     0.30400000             0.24400000             0.21200000             0.00000000
  40     0.33600000             0.26000000             0.22800000             0.00000000
  41     0.14400000             0.15200000             0.11600000             0.00000000
  42     0.11600000             0.13600000             0.09600000             0.00000000
  43     0.14000000             0.15200000             0.12000000             0.00000000
  44     0.28800000             0.22800000             0.20800000             0.00000000
  45     0.14800000             0.15200000             0.11600000             0.00000000
  46     0.19200000             0.18400000             0.14800000             0.00000000
  47     0.23200000             0.20400000             0.17200000             0.00000000
  48     0.17600000             0.17200000             0.13600000             0.00000000
  49     0.17600000             0.18400000             0.13600000             0.00000000
  50     0.15600000             0.16800000             0.12400000             0.00000000
