ZScan Measurmets (Organometallics in Nanophotonics)
Sample type:Solution
Code: Ru-Tth-11
Concentration: 100 %
Wavelength: 890 nm
Experiment description

--------------------------------------------------------------------------------------------------

Starting pos:   50
Ending pos:   90
CH1:   Closed aperture
CH2:   Reference
CH3:   Open aperture
CH4:   Empty channel


--------------------------------------------------------------------------------------------------

SNo.   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   [V] Voltage Max	   

--------------------------------------------------------------------------------------------------

   1     0.98400000             0.83200000             0.72000000             0.00000000
   2     1.00800000             0.85600000             0.72800000             0.00000000
   3     1.00000000             0.84000000             0.71200000             0.00000000
   4     1.00800000             0.84800000             0.72000000             0.00000000
   5     0.99200000             0.85600000             0.72000000             0.00000000
   6     1.02400000             0.86400000             0.73600000             0.00000000
   7     1.03200000             0.85600000             0.73600000             0.00000000
   8     1.03200000             0.85600000             0.72800000             0.00000000
   9     1.02400000             0.83200000             0.72000000             0.00000000
  10     0.95200000             0.78400000             0.67200000             0.00000000
  11     0.89600000             0.77600000             0.64800000             0.00000000
  12     0.94400000             0.80800000             0.68000000             0.00000000
  13     0.99200000             0.82400000             0.72000000             0.00000000
  14     1.02400000             0.84000000             0.73600000             0.00000000
  15     1.00800000             0.83200000             0.72800000             0.00000000
  16     0.99200000             0.82400000             0.70400000             0.00000000
  17     0.97600000             0.81600000             0.69600000             0.00000000
  18     0.97600000             0.81600000             0.69600000             0.00000000
  19     0.98400000             0.83200000             0.70400000             0.00000000
  20     1.00000000             0.84000000             0.71200000             0.00000000
  21     1.03200000             0.84000000             0.73600000             0.00000000
  22     1.04800000             0.85600000             0.74400000             0.00000000
  23     1.03200000             0.84800000             0.73600000             0.00000000
  24     1.04800000             0.84000000             0.74400000             0.00000000
  25     1.04000000             0.84800000             0.73600000             0.00000000
  26     1.01600000             0.85600000             0.72800000             0.00000000
  27     1.00800000             0.84000000             0.72000000             0.00000000
  28     1.00000000             0.82400000             0.72000000             0.00000000
  29     1.04000000             0.84000000             0.75200000             0.00000000
  30     1.04000000             0.84000000             0.74400000             0.00000000
  31     1.04800000             0.84000000             0.75200000             0.00000000
  32     1.04800000             0.84800000             0.75200000             0.00000000
  33     1.05600000             0.85600000             0.76000000             0.00000000
  34     1.02400000             0.83200000             0.73600000             0.00000000
  35     1.04800000             0.84000000             0.75200000             0.00000000
  36     1.01600000             0.83200000             0.73600000             0.00000000
  37     1.03200000             0.84000000             0.74400000             0.00000000
  38     1.02400000             0.84800000             0.74400000             0.00000000
  39     0.98400000             0.83200000             0.72000000             0.00000000
  40     1.00800000             0.84800000             0.73600000             0.00000000
  41     0.99200000             0.84000000             0.72800000             0.00000000
  42     0.95200000             0.83200000             0.70400000             0.00000000
  43     0.96000000             0.84800000             0.71200000             0.00000000
  44     0.96000000             0.83200000             0.71200000             0.00000000
  45     0.98400000             0.84000000             0.72800000             0.00000000
  46     1.02400000             0.84800000             0.74400000             0.00000000
  47     1.03200000             0.85600000             0.76000000             0.00000000
  48     1.02400000             0.86400000             0.75200000             0.00000000
  49     0.98400000             0.84000000             0.72800000             0.00000000
  50     0.95200000             0.81600000             0.70400000             0.00000000
